"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW2DGLOBALMARKERS_DESC","Toggle the view of all server 2D markers.","Toggle the view of all server 2D markers.","Přepnout všechny serverové 2D značky.","Schalte die Anzeige von allen globalen 2D Server Markierungen um.","Вкл/Выкл отображение всех глобальных метки 2D сервера.","Włącz widok wszystkich ustawionych serwerowych znaczników 2D na mapie.","Toggle the view of all global 2D server markers.","Abilita / Disabilita la visione dei marcatori 2D creati per il server","Activar la vista de todos los marcadores 2D globales","Bascule l'affichage des marqueurs 2D du serveur.","切換查看所有全局 2D 服務器地圖標記。","Toggle the view of all global 2D server markers.","Alterne a exibição de todos os marcadores globais de servidor 2D.","切换服务器全局2D标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW2DMARKERS","SHOW 2D MARKERS","SHOW 2D MARKERS","ZOBRAZIT 2D ZNAČKY","ZEIGE 2D MARKIERUNGEN","2D МЕТКИ","POKAŻ ZNACZNIKI 2D","SHOW 2D MARKERS","MOSTRA MARCATORI 2D","Mostrar marcadores 2D","AFFICHER LES MARQUEURS 2D","顯示 2D 地圖標記","2D マーカー設定","MOSTRAR MARCAÇÕES 2D","显示2D标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW2DMARKERS_DESC","Toggle the view of all 2D markers.","Toggle the view of all 2D markers.","Přepnout všechny 2D značky.","Schalte die Anzeige von allen 2D Karten-Markierungen um.","Вкл/Выкл отображение всех ваших 2D меток.","Włącz widok wszystkich ustawionych znaczników 2D na mapie.","Toggle the view of all 2D map markers.","Abilita / Disabilita la visione dei marcatori 2D in mappa","Activar la vista de todos los marcadores 2D","Bascule l'affichage de tous les marqueurs carte 2D.","切換查看所有 2D 地圖標記。","2D マーカー表示・非表示の切り替え","Acesse a visualização de todos os seus marcadores de mapa 2D.","切换你地图上的所有自定2D视图",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW2DPARTYMARKERS","SHOW GROUP 2D MARKERS","SHOW GROUP 2D MARKERS","ZOBRAZIT 2D ZNAČKY SKUPINY","ZEIGE GRUPPEN-2D-MARKER","2D МЕТКИ ГРУППЫ","POKAŻ ZNACZNIKI 2D GRUPY","SHOW 2D PARTY MARKERS","MOSTRA MARCATORI 2D DI GRUPPO","Mostrar marcadores 2D del Grupo","AFFICHER LES MARQUEURS 2D DE GROUPE","顯示隊伍 2D 地圖標記","SHOW 2D PARTY MARKERS","MOSTRAR MARCADORES 2D DO GRUPO","显示队伍标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW2DPARTYMARKERS_DESC","Toggle the view of all group 2D markers.","Toggle the view of all group 2D markers.","Přepnout všechny skupinové 2D značky.","Schalte die Anzeige von allen 2D Gruppen Karten-Markierungen um.","Вкл/Выкл отображение всех 2D меток группы на карте.","Włącz widok wszystkich ustawionych znaczników grupowych 2D na mapie.","Toggle the view of all 2D party map markers.","Abilita / Disabilita la visione dei marcatori 2D di gruppo","Mostrar marcadores 2D del Grupo en el mapa","Bascule l'affichage des marqueurs 2D du groupe.","切換查看所有 2D 隊伍地圖標記。","Toggle the view of all 2D party map markers.","Alterne a exibição de todos os marcadores de mapa do grupo em 2D.","切换所有队伍中的2D标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW2DPLAYERMARKERS","SHOW PLAYER 2D MARKERS","SHOW PLAYER 2D MARKERS","ZOBRAZIT HRÁČSKÉ 2D ZNAČKY","ZEIGE SPIELER-2D-MARKER","2D МЕТКИ ИГРОКОВ","POKAŻ ZNACZNIKI 2D GRACZA","SHOW 2D PLAYER MARKERS","MOSTRA MARCATORI 2D DEI GIOCATORI","Mostrar la vista de los marcadores 2D del Jugador","AFFICHER LES MARQUEURS 2D DE JOUEURS","顯示玩家 2D 地圖標記","SHOW 2D PLAYER MARKERS","MOSTRAR MARCADORES 2D DOS JOGADORES","显示玩家标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW2DPLAYERMARKERS_DESC","Toggle the view of all group member 2D markers.","Toggle the view of all group member 2D markers.","Přepnout všechny hráčské 2D značky.","Schalte die Anzeige von 2D Gruppen Spieler-Marierungen um.","Вкл/Выкл отображение всех 2D меток игроков.","Włącz widok wszystkich ustawionych znaczników osobowych 2D na mapie.","Toggle the view of all 2D party player markers.","Abilita / Disabilita la visione dei marcatori 2D dei giocatori nel gruppo","Activar marcadores 2D del Grupo","Bascule l'affichage des marqueurs 2D des membres de groupes.","切換查看所有 2D 隊伍玩家地圖標記。","Toggle the view of all 2D party player markers.","Alterne a visualização de todos os marcadores de jogadores em 2D.","切换地图上所有队伍中玩家的2D标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DCLIENTMARKERS","SHOW PERSONAL 3D MARKERS","SHOW PERSONAL 3D MARKERS","ZOBRAZIT OSOBNÍ 3D ZNAČKY","ZEIGE PERSÖNLICHE 3D MARKER","3D ЛИЧНЫЕ МЕТКИ","POKAŻ MOJE ZNACZNIKI 3D","SHOW 3D PERSONAL MARKERS","MOSTRA MARCATORI PERSONALI 3D","Mostrar Marcadores 3D Personales","AFFICHER LES MARQUEURS 3D PERSONNELS","顯示個人 3D 地圖標記","SHOW 3D PERSONAL MARKERS","MOSTRAR MARCADORES PESSOAIS 3D","显示个人3D标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DCLIENTMARKERS_DESC","Toggle the view of all personal 3D markers.","Toggle the view of all personal 3D markers.","Přepnout všechny osobní 3D značky.","Schalte die Anzeige von allen persönlichen 3D Karten-Markierungen um.","Вкл/Выкл отображение всех личных 3D меток.","Włącz widok wszystkich moich ustawionych znaczników 3D na mapie.","Toggle the view of all personal 3D map markers.","Abilita / Disabilita la visione dei marcatori personali 3D in mappa","Activar la vista de tus marcadores 3D en el mapa","Bascule l'affichage des marqueurs 3D personnels.","切換查看所有個人 3D 地圖標記。","Toggle the view of all personal 3D map markers.","Alterne a exibição de todos os marcadores de mapa 3D pessoais.","切换地图上所有个人3D标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DGLOBALMARKERS","SHOW SERVER 3D MARKERS","SHOW SERVER 3D MARKERS","ZOBRAZIT SERVEROVÉ 3D ZNAČKY","ZEIGE SERVER-3D-MARKER","3D СЕРВЕРНЫЕ МЕТКИ","POKAŻ ZNACZNIKI 3D SERWERA","SHOW 3D SERVER MARKERS","MOSTRA MARCATORI 3D DEL SERVER","Mostrar marcadores 3D del servidor","AFFICHER LES MARQUEURS 3D DU SERVEUR","顯示服務器 3D 地圖標記","クライアント 3D マーカーの表示","MOSTRAR MARCAÇÃO 3D DO SERVIDOR","显示服务器上的3D标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DGLOBALMARKERS_DESC","Toggle the view of all server 3D markers.","Toggle the view of all server 3D markers.","Přepnout všechny serverové 3D značky.","Schalte die Anzeige von allen globalen 3D Server Markierungen um.","Вкл/Выкл отображение всех глобальных 3D меток сервера.","Włącz widok wszystkich ustawionych serwerowych znaczników 3D na mapie.","Toggle the view of all global 3D server markers.","Abilita / Disabilita la visione dei marcatori 3D creati per il server","Activar la vista de todos los marcadores 3D globales","Bascule l'affichage des marqueurs 3D du serveur.","切換查看所有全局 3D 服務器地圖標記。","グローバル 3D マーカー表示・非表示の切り替え","Alterne a exibição de todos os marcadores globais de servidor 3D.","切换所有全局3D服务器标记的视图。",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DMARKERS","SHOW 3D MARKERS","SHOW 3D MARKERS","ZOBRAZIT 3D ZNAČKY","ZEIGE 3D MARKIERUNGEN","3D МЕТКИ","POKAŻ ZNACZNIKI 3D","SHOW 3D MARKERS","MOSTRA MARCATORI 3D","MOSTRAR MARCADOR 3D","AFFICHER LES MARQUEURS 3D","顯示 3D 地圖標記","3D マーカーの表示","MOSTRAR MARCAÇÃO 3D","显示3D标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DMARKERS_DESC","Toggle the view of all your 3D markers.","Toggle the view of all your 3D markers.","Přepnout všechny 3D značky.","Schalte die Anzeige von allen 3D Karten-Markierungen um.","Вкл/Выкл отображение всех ваших 3D меток.","Włącz widok wszystkich ustawionych znaczników 3D na mapie.","Toggle the view of all your 3D map markers.","Abilita / Disabilita la visione dei marcatori 3D in mappa","Activar la vista de tus marcadores 3D","Bascule l'affichage de tous les marqueurs carte 3D.","切換查看所有 3D 地圖標記。","3D マーカー表示・非表示の切り替え","Acesse a visualização de todos os seus marcadores de mapa 3D.","切换你地图上的所有自定3D视图",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DPARTYMARKERS","SHOW GROUP 3D MARKERS","SHOW GROUP 3D MARKERS","ZOBRAZIT 3D ZNAČKY SKUPINY","ZEIGE GRUPPEN-3D-MARKER","3D МЕТКИ ГРУППЫ","POKAŻ ZNACZNIKI 3D GRUPY","SHOW 3D PARTY MARKERS","MOSTRA MARCATORI 3D DI GRUPPO","Mostrar marcadores 3D del grupo","AFFICHER LES MARQUEURS 3D DE GROUPE","顯示隊伍 3D 地圖標記","SHOW 3D PARTY MARKERS","EXIBIR MARCADORES DO GRUPO 3D","显示3D团队标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DPARTYMARKERS_DESC","Toggle the view of all group 3D markers.","Toggle the view of all group 3D markers.","Přepnout všechny skupinové 3D značky.","Schalte die Anzeige von allen 3D Gruppen Karten-Markierungen um.","Вкл/Выкл отображение всех меток карты 3D группы.","Włącz widok wszystkich ustawionych znaczników grupowych 3D na mapie.","Toggle the view of all 3D party map markers.","Abilita / Disabilita la visione dei marcatori 3D di gruppo","Activar la vista de todos los marcadores 3D globales","Bascule l'affichage des marqueurs 3D du groupe.","切換查看所有 3D 隊伍地圖標記。","Toggle the view of all 3D party map markers.","Exibir a visualização de todos os marcadores de mapa em 3D.","切换团队成员在地图上的3D标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DPARTYMEMBERICON","SHOW PLAYER MARKER ICON","SHOW PLAYER MARKER ICON","ZOBRAZIT IKONU 3D ČLENA SKUPINY","SPIELER-3D-MARKER-SYMBOL","3D ЗНАЧОК ЧЛЕНА ГРУППЫ","SHOW 3D PARTY MEMBER MARKER ICON","SHOW 3D PARTY MEMBER MARKER ICON","MOSTRA ICONA MARCATORE 3D DEI MEMBRI DEL GRUPPO","SHOW 3D PARTY MEMBER MARKER ICON","AFFICHER L'ICÔNE DE MARQUEUR DE MEMBRE DU GROUPE 3D","顯示 3D 隊伍成員地圖標記圖示","SHOW 3D PARTY MEMBER MARKER ICON","SHOW 3D PARTY MEMBER MARKER ICON","显示 3D 派对成员标记图标",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DPARTYMEMBERICON_DESC","Toggle the view of the icon that gets displayed next to party member 3D markers.","Toggle the view of the icon that gets displayed next to party member 3D markers.","Přepnout zobrazení ikony, která se zobrazuje vedle značek 3D členů skupiny.","Schaltet die Ansicht des Symbols um, das neben den 3D-Markierungen der Gruppenmitglieder angezeigt wird.","Вкл/Выкл отображение значка, который отображается рядом с 3D-меткой членов группы над головой.","Toggle the view of the icon that gets displayed next to party member 3D markers.","Toggle the view of the icon that gets displayed next to party member 3D markers.","Abilita / Disabilita la visione dei marcatori 3D visualizzati vicino ai giocatori del gruppo","Toggle the view of the icon that gets displayed next to party member 3D markers.","Bascule la vue de l'icône qui s'affiche à côté des marqueurs 3D des membres du groupe.","切換查看在隊伍成員 3D 地圖標記旁顯示的圖示。","Toggle the view of the icon that gets displayed next to party member 3D markers.","Toggle the view of the icon that gets displayed next to party member 3D markers.","切换显示在队伍成员 3D 标记旁边的图标的视图。",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DPLAYERMARKERS","SHOW PLAYER 3D MARKERS","SHOW PLAYER 3D MARKERS","ZOBRAZIT ZNAČKY HRÁČŮ V 3D","ZEIGE SPIELER-3D-MARKER","3D МЕТКИ ИГРОКОВ","POKAŻ ZNACZNIKI 3D GRACZA","SHOW 3D PLAYER MARKERS","MOSTRA MARCATORI 3D DEI GIOCATORI","Mostrar marcadores 3D del Jugador","AFFICHER LES MARQUEURS 3D DE JOUEURS","顯示玩家 3D 地圖標記","SHOW 3D PLAYER MARKERS","MOSTRAR MARCADORES DE JOGADORES 3D","显示3D玩家标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOW3DPLAYERMARKERS_DESC","Toggle the view of all group member 3D markers.","Toggle the view of all group member 3D markers.","Přepnout zobrazení všech značek hráčů v režimu 3D.","Schalte die Anzeige von 3D Gruppenmitglieder-Marierungen um.","Вкл/Выкл отображение всех 3D меток игроков.","Włącz widok wszystkich ustawionych znaczników osobowych 3D na mapie.","Toggle the view of all 3D party player markers.","Abilita / Disabilita la visione dei marcatori 3D dei giocatori nel gruppo","Activar marcadores 3D del grupo","Bascule l'affichage des marqueurs 3D des membres de groupes.","切換查看所有玩家 3D 地圖標記。","Toggle the view of all 3D party player markers.","Alterne a visualização de todos os marcadores de jogadores do grupo 3D","切换地图上所有团队玩家的3D标记",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOWMARKERTEXTCOLOR","APPLY MARKER TEXT COLOR","APPLY MARKER TEXT COLOR","SHOW MARKER TEXT COLOR","MARKER-TEXT EINFÄRBEN","ПОКАЗЫВАТЬ ЦВЕТ ТЕКСТА МЕТКИ","SHOW MARKER TEXT COLOR","SHOW MARKER TEXT COLOR","SHOW MARKER TEXT COLOR","SHOW MARKER TEXT COLOR","AFFICHER LE TEXTE EN COULEUR DU MARQUEUR","SHOW MARKER TEXT COLOR","SHOW MARKER TEXT COLOR","SHOW MARKER TEXT COLOR","显示标记文本颜色",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_SHOWMARKERTEXTCOLOR_DESC","The marker name and distance will be colored if enabled","The marker name and distance will be colored if enabled","The Marker name and distance will also be colored if enabled","Der Marker-Name und die Entfernung werden mit der Farbe des Symbols eingefärbt.","Название метки и расстояние будут окрашены, если функция включена","The Marker name and distance will also be colored if enabled","The Marker name and distance will also be colored if enabled","The Marker name and distance will also be colored if enabled","The Marker name and distance will also be colored if enabled","Le nom du marqueur et la distance seront également colorés si l'option est activée.","The Marker name and distance will also be colored if enabled","The Marker name and distance will also be colored if enabled","The Marker name and distance will also be colored if enabled","如果启用，标记名称和距离也将着色",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_CLIENT3DDISTANCE","PERSONAL 3D MARKER DISTANCE","PERSONAL 3D MARKER DISTANCE","3D PERSONAL MAX VIEW DIST","PERSÖNL. 3D MARKER DISTANZ","3D ЛИЧНЫЕ ВИДИМОЕ РАССТОЯНИЕ","3D PERSONAL MAX VIEW DIST","3D PERSONAL MAX VIEW DIST","3D PERSONAL MAX VIEW DIST","3D PERSONAL MAX VIEW DIST","DISTANCE DE VUE MAX MARQUEUR 3D PERSONNEL","3D PERSONAL MAX VIEW DIST","3D PERSONAL MAX VIEW DIST","3D PERSONAL MAX VIEW DIST","个人3D最大视角DIST",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_CLIENT3DDISTANCE_DESC","The distance at which personal 3D markers begin to slowly fade out.","The distance at which personal 3D markers begin to slowly fade out.","The maximum range before the 3D Personal marker begins to slowly disappear.","Die maximale Renderdistanz für persönliche 3D-Markierungen.","Макс. дистанция, на которой Личный 3D-маркер начинает постепенно исчезать.","The maximum range before the 3D Personal marker begins to slowly disappear.","The maximum range before the 3D Personal marker begins to slowly disappear.","The maximum range before the 3D Personal marker begins to slowly disappear.","The maximum range before the 3D Personal marker begins to slowly disappear.","La portée maximale avant que le marqueur 3D personnel ne commence à disparaître lentement.","The maximum range before the 3D Personal marker begins to slowly disappear.","The maximum range before the 3D Personal marker begins to slowly disappear.","The maximum range before the 3D Personal marker begins to slowly disappear.","个人3D标记开始缓慢消失之前的最大范围。",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_PLAYER3DDISTANCE","PLAYER 3D MARKER DISTANCE","PLAYER 3D MARKER DISTANCE","3D PLAYER MAX VIEW DIST","SPIELER-3D-MARKER DISTANZ","3D ИГРОКОВ ВИДИМОЕ РАССТОЯНИЕ","3D PLAYER MAX VIEW DIST","3D PLAYER MAX VIEW DIST","3D PLAYER MAX VIEW DIST","3D PLAYER MAX VIEW DIST","DISTANCE DE VUE MAX MARQUEUR 3D JOUEUR","3D PLAYER MAX VIEW DIST","3D PLAYER MAX VIEW DIST","3D PLAYER MAX VIEW DIST","玩家3D最大观看距离",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_PLAYER3DDISTANCE_DESC","The distance at which player 3D markers begin to slowly fade out.","The distance at which player 3D markers begin to slowly fade out.","The maximum range before the 3D Player marker begins to slowly disappear.","Die maximale Renderdistanz für 3D-Gruppenmitgliedermarkierungen.","Макс. дистанция, на которой 3D-маркер игроков начинает постепенно исчезать.","The maximum range before the 3D Player marker begins to slowly disappear.","The maximum range before the 3D Player marker begins to slowly disappear.","The maximum range before the 3D Player marker begins to slowly disappear.","The maximum range before the 3D Player marker begins to slowly disappear.","La portée maximale avant que le marqueur 3D du joueur ne commence à disparaître lentement.","The maximum range before the 3D Player marker begins to slowly disappear.","The maximum range before the 3D Player marker begins to slowly disappear.","The maximum range before the 3D Player marker begins to slowly disappear.","玩家3D标记开始缓慢消失之前的最大范围。",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_PARTY3DDISTANCE","GROUP 3D MARKER DISTANCE","GROUP 3D MARKER DISTANCE","3D PARTY MAX VIEW DIST","GRUPPEN-3D-MARKER DISTANZ","3D ГРУППЫ MAX ВИДИМОЕ РАССТОЯНИЕ","3D PARTY MAX VIEW DIST","3D PARTY MAX VIEW DIST","3D PARTY MAX VIEW DIST","3D PARTY MAX VIEW DIST","DISTANCE DE VUE MAX MARQUEUR 3D GROUPE","3D PARTY MAX VIEW DIST","3D PARTY MAX VIEW DIST","3D PARTY MAX VIEW DIST","小队3D最大观看距离",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_PARTY3DDISTANCE_DESC","The distance at which group 3D markers begin to slowly fade out.","The distance at which group 3D markers begin to slowly fade out.","The maximum range before the 3D Party marker begins to slowly disappear.","Die maximale Renderdistanz für 3D-Gruppenmarkierungen.","Макс. дистанция, на которой 3D-маркер группы начинает постепенно исчезать.","The maximum range before the 3D Party marker begins to slowly disappear.","The maximum range before the 3D Party marker begins to slowly disappear.","The maximum range before the 3D Party marker begins to slowly disappear.","The maximum range before the 3D Party marker begins to slowly disappear.","La portée maximale avant que le marqueur 3D de groupe ne commence à disparaître lentement.","The maximum range before the 3D Party marker begins to slowly disappear.","The maximum range before the 3D Party marker begins to slowly disappear.","The maximum range before the 3D Party marker begins to slowly disappear.","小队3D标记开始缓慢消失之前的最大范围。",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_GLOBAL3DDISTANCE","SERVER 3D MARKER DISTANCE","SERVER 3D MARKER DISTANCE","3D SERVER MAX VIEW DIST","SERVER-3D-MARKER DISTANZ","3D СЕРВЕНЫЕ ВИДИМОЕ РАССТОЯНИЕ","3D SERVER MAX VIEW DIST","3D SERVER MAX VIEW DIST","3D SERVER MAX VIEW DIST","3D SERVER MAX VIEW DIST","DISTANCE DE VUE MAX MARQUEUR 3D SERVEUR","3D SERVER MAX VIEW DIST","3D SERVER MAX VIEW DIST","3D SERVER MAX VIEW DIST","服务器3D最大视图分布",
"STR_EXPANSION_SETTINGS_CLIENT_MAP_GLOBAL3DDISTANCE_DESC","The distance at which server 3D markers begin to slowly fade out.","The distance at which server 3D markers begin to slowly fade out.","The maximum range before the 3D Server marker begins to slowly disappear.","Die maximale Renderdistanz für 3D-Servermarkierungen.","Макс. дистанция, на которой 3D-маркер сервера начинает постепенно исчезать.","The maximum range before the 3D Server marker begins to slowly disappear.","The maximum range before the 3D Server marker begins to slowly disappear.","The maximum range before the 3D Server marker begins to slowly disappear.","The maximum range before the 3D Server marker begins to slowly disappear.","La portée maximale avant que le marqueur 3D de serveur ne commence à disparaître lentement.","The maximum range before the 3D Server marker begins to slowly disappear.","The maximum range before the 3D Server marker begins to slowly disappear.","The maximum range before the 3D Server marker begins to slowly disappear.","服务器3D标记开始缓慢消失之前的最大范围。",
"STR_EXPANSION_SETTINGS_CLIENT_MARKET","MARKET SETTINGS","MARKET SETTINGS","NASTAVENÍ TRHU","MARKT-EINSTELLUNGEN","ПАРАМЕТРЫ РЫНКА","MARKET SETTINGS","MARKET SETTINGS","IMPOSTAZIONI MERCATO","OPCIONES DEL MERCADO","PARAMÈTRES DU MARCHÉ","市場設置","MARKET SETTINGS","MARKET SETTINGS","市场环境",
"STR_EXPANSION_SETTINGS_CLIENT_MARKET_CATEGORIES_TOGGLE_STATE","EXPAND ALL CATEGORIES","EXPAND ALL CATEGORIES","EXPAND ALL CATEGORIES","ALLE KATEGORIEN AUSKLAPPEN","РАСКРЫТЬ ВСЕ КАТЕГОРИИ","EXPAND ALL CATEGORIES","EXPAND ALL CATEGORIES","EXPAND ALL CATEGORIES","EXPAND ALL CATEGORIES","VOIR TOUTES CATÉGORIES","EXPAND ALL CATEGORIES","EXPAND ALL CATEGORIES","EXPAND ALL CATEGORIES","EXPAND ALL CATEGORIES",
"STR_EXPANSION_SETTINGS_CLIENT_MARKET_CATEGORIES_TOGGLE_STATE_DESC","Automatically expand all categories when opening trader menu (WARNING: Performance hit!)","Automatically expand all categories when opening trader menu (WARNING: Performance hit!)","Automatically expand all categories when opening trader menu (WARNING: Performance hit!)","Automatisch alle Kategorien ausklappen, wenn das Händler-Menü geöffnet wird (WARNUNG: Leistungseinbußen!)","Автоматически раскрывать все категории в торговом меню (ВНИМАНИЕ: Сильно бьет по производительности игры!)","Automatically expand all categories when opening trader menu (WARNING: Performance hit!)","Automatically expand all categories when opening trader menu (WARNING: Performance hit!)","Automatically expand all categories when opening trader menu (WARNING: Performance hit!)","Automatically expand all categories when opening trader menu (WARNING: Performance hit!)","Développer automatiquement toutes les catégories à l'ouverture du menu trader (ATTENTION : impact sur les performances !)","Automatically expand all categories when opening trader menu (WARNING: Performance hit!)","Automatically expand all categories when opening trader menu (WARNING: Performance hit!)","Automatically expand all categories when opening trader menu (WARNING: Performance hit!)","Automatically expand all categories when opening trader menu (WARNING: Performance hit!)",
"STR_EXPANSION_SETTINGS_CLIENT_MARKET_DISABLE_SUCCESS_NOTIFICATIONS","DISABLE SUCCESS NOTIF.","DISABLE SUCCESS NOTIF.","DISABLE SUCCESS NOTIFICATIONS","ERFOLGS-BENACHR. DEAKT.","УВЕДОМЛЕНИЯ (УСПЕХ)","DISABLE SUCCESS NOTIFICATIONS","DISABLE SUCCESS NOTIFICATIONS","DISABLE SUCCESS NOTIFICATIONS","DISABLE SUCCESS NOTIFICATIONS","DÉSACTIVER NOTIFICATIONS RÉUSSITE","DISABLE SUCCESS NOTIFICATIONS","DISABLE SUCCESS NOTIFICATIONS","DISABLE SUCCESS NOTIFICATIONS","DISABLE SUCCESS NOTIFICATIONS",
"STR_EXPANSION_SETTINGS_CLIENT_MARKET_DISABLE_SUCCESS_NOTIFICATIONS_DESC","Disable notifications for successful purchases and sales.","Disable notifications for successful purchases and sales.","Disable notifications for successful purchases and sales.","Deaktiviert Benachrichtigungen für erfolgreiche Käufe und Verkäufe.","Отключает уведомления после успешной покупки/продажи.","Disable notifications for successful purchases and sales.","Disable notifications for successful purchases and sales.","Disable notifications for successful purchases and sales.","Disable notifications for successful purchases and sales.","Désactiver les notifications pour les achats et les ventes réussis.","Disable notifications for successful purchases and sales.","Disable notifications for successful purchases and sales.","Disable notifications for successful purchases and sales.","Disable notifications for successful purchases and sales.",
"STR_EXPANSION_SETTINGS_CLIENT_MARKET_PURCHASABLES_FILTER_STATE","SHOW PURCHASABLE","SHOW PURCHASABLE","SHOW PURCHASABLE","KAUFBARES ANZEIGEN","ПОКАЗЫВАТЬ ДОСТУПНОЕ","SHOW PURCHASABLE","SHOW PURCHASABLE","SHOW PURCHASABLE","SHOW PURCHASABLE","MONTRER ACHETABLE","SHOW PURCHASABLE","SHOW PURCHASABLE","SHOW PURCHASABLE","SHOW PURCHASABLE",
"STR_EXPANSION_SETTINGS_CLIENT_MARKET_PURCHASABLES_FILTER_STATE_DESC","Show puchasable items by default (enough money to buy the respective items needs to be in your inventory).","Show puchasable items by default (enough money to buy the respective items needs to be in your inventory).","Show puchasable items by default (enough money to buy the respective items needs to be in your inventory).","Zeigt standardmäßig kaufbare Objekte an (es muss genug Geld für das jeweilige Objekt in deinem Inventar vorhanden sein).","Позволяет по-умолчанию отображать предметы доступные для Покупки (в инвентаре должно быть достаточно денег для покупки).","Show puchasable items by default (enough money to buy the respective items needs to be in your inventory).","Show puchasable items by default (enough money to buy the respective items needs to be in your inventory).","Show puchasable items by default (enough money to buy the respective items needs to be in your inventory).","Show puchasable items by default (enough money to buy the respective items needs to be in your inventory).","Afficher les objets pouvant être achetés par défaut (vous devez disposer de suffisamment d'argent dans votre inventaire pour acheter les objets correspondants).","Show puchasable items by default (enough money to buy the respective items needs to be in your inventory).","Show puchasable items by default (enough money to buy the respective items needs to be in your inventory).","Show puchasable items by default (enough money to buy the respective items needs to be in your inventory).","Show puchasable items by default (enough money to buy the respective items needs to be in your inventory).",
"STR_EXPANSION_SETTINGS_CLIENT_MARKET_SELLABLES_FILTER_STATE","SHOW SELLABLE","SHOW SELLABLE","SHOW SELLABLE","VERKAUFBARES ANZEIGEN","ПОКАЗЫВАТЬ ПРОДАВАЕМОЕ","SHOW SELLABLE","SHOW SELLABLE","SHOW SELLABLE","SHOW SELLABLE","MONTRER VENDABLE","SHOW SELLABLE","SHOW SELLABLE","SHOW SELLABLE","SHOW SELLABLE",
"STR_EXPANSION_SETTINGS_CLIENT_MARKET_SELLABLES_FILTER_STATE_DESC","Show sellable items by default.","Show sellable items by default.","Show sellable items by default.","Zeigt standardmäßig verkaufbare Objekte an.","Позволяет по-умолчанию отобрадать предметы доступные для Продажи.","Show sellable items by default.","Show sellable items by default.","Show sellable items by default.","Show sellable items by default.","Afficher les articles vendables par défaut.","Show sellable items by default.","Show sellable items by default.","Show sellable items by default.","Show sellable items by default.",
"STR_EXPANSION_SETTINGS_CLIENT_MARKET_SHOWCURRENCYDENOMS","SHOW CURRENCY DENOMINATIONS","SHOW CURRENCY DENOMINATIONS","ZOBRAZIT HODNOTY MĚNY","SHOW CURRENCY DENOMINATIONS","НОМИНАЛЫ ВАЛЮТ","SHOW CURRENCY DENOMINATIONS","SHOW CURRENCY DENOMINATIONS","MOSTRA DENOMINAZIONI DI VALUTA","MOSTRAR DENOMINACIONES DE MONEDA","AFFICHER LES DÉNOMINATIONS DES MONNAIES","顯示貨幣面額","SHOW CURRENCY DENOMINATIONS","SHOW CURRENCY DENOMINATIONS","显示货币面额",
