"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_EXPANSION_BB_WOOD_DOOR_FRAME","Wood Door Frame","Wood Door Frame","Rám pro dřevěné dveře","Holztürrahmen","Деревянная дверь (рама)","Drewniana Ramka Do Drzwi","Fa ajtó keret","Telaio Porta di Legno","Marco de puerta de madera","Cadre de porte en bois","木質門框","木製のドアの枠組み","Armação Porta de Madeira","单门木门框",
"STR_EXPANSION_BB_WOOD_FLOOR_BASE","Wood Floor Base","Wood Floor Base","Základy pro dřevěnou podlahu","Holzboden-Basis","Основание деревянного пола","Drewniana podstawa podłogi","Fa padló alap","Base Pavimento in Legno","Base del suelo de madera","Base de sol en bois","木質地板基座","Wood Floor Base","Piso de Madeira Base","木地板底座",
"STR_EXPANSION_BB_WOOD_FLOOR_FINISHED","Wood Floor","Wood Floor","Dřevěná podlaha","Holzboden","Деревянный пол","Drewniana Podłoga","Fa padló","Pavimento in Legno","Suelo de madera","Sol en bois","木質地板","木製の床","Chão de Madeira","木地板",
"STR_EXPANSION_BB_WOOD_FLOOR_FRAME","Wood Floor Frame","Wood Floor Frame","Rám pro dřevěnou podlahu","Holzbodenrahmen","Деревянный пол (рама)","Drewniana Ramka Podłogi","Fa padló keret","Telaio Pavimento in Legno","Marco del suelo de madera","Cadre de sol en bois","木質地板框架","木製の床の枠組み","Armação Chão de Madeira","木地板框架",
"STR_EXPANSION_BB_WOOD_GATE_FINISHED","Wood Gate","Wood Gate","Dřevěná brána","Holztor","Деревянные ворота","Drewniana Brama","Fa kapu","Cancello di Legno","Porton de madera","Portail en bois","木質大門","木製のゲート","Portão de Madeira","木门",
"STR_EXPANSION_BB_WOOD_GATE_FRAME","Wood Gate Frame","Wood Gate Frame","Rám pro dřevěnou bránu","Holztorrahmen","Деревянные ворота (рама)","Drewniana Ramka Bramy","Fa kapu keret","Telaio Cancello di Legno","Marco de porton de madera","Cadre de portail en bois","木質大門框架","木製のゲートの枠組み","Armação Portão de Madeira","双门木门框",
"STR_EXPANSION_BB_WOOD_HATCH_FINISHED","Wood Hatch","Wood Hatch","Dřevěný poklop","Holzluke","Деревянный люк","Drewniany Właz","Fa ablakos fal","Botola di legno","Escotilla de madera","Trappe en bois","木質舱口","木製ハッチ","Escotilha de Madeira","木头舱口盖",
"STR_EXPANSION_BB_WOOD_HATCH_FRAME","Wood Hatch Frame","Wood Hatch Frame","Rám pro dřevěný poklop","Holzlukenrahmen","Деревянный люк (рама)","Drewniana Ramka Włazu","Fa ablakos fal keret","Telaio Botola di Legno","Marco de la escotilla de madera","Cadre de trappe en bois","木質舱口框架","木製ハッチの枠組み","Armação Escotilha de Madeira","木舱口盖框架",
"STR_EXPANSION_BB_WOOD_PILLAR","Wood Pillar","Wood Pillar","Dřevěný sloup","Holzpfeiler","Деревянный столб","Drewniany Filar","Fa oszlop","Colonna di Legno","Pilar de madera","Pilier en bois","木質支柱","木製の柱","Pilar de Madeira","木柱",
"STR_EXPANSION_BB_WOOD_RAMP_BASE","Wood Ramp Base","Wood Ramp Base","Základy pro dřevěnou rampu","Holzrampe-Basis","Основание деревянной рампы","Drewniana Podstawa Rampy","Fa rámpa alap","Base Rampa di Legno","Base de madera de la rampa","Base de rampe en bois","木質坡道基座","Wood Ramp Base","Rampa de Madeira Base","木坡道基地",
"STR_EXPANSION_BB_WOOD_RAMP_FINISHED","Wood Ramp","Wood Ramp","Dřevěná rampa","Holzrampe","Деревянная рампа","Drewniana Rampa","Fa rámpa","Rampa di Legno","Rampa de madera","Rampe en bois","木質坡道","木製スロープ","Rampa de Madeira","木坡道",
"STR_EXPANSION_BB_WOOD_RAMP_FRAME","Wood Ramp Frame","Wood Ramp Frame","Rám pro dřevěnou rampu","Holzrampenrahmen","Деревянная рампа (рама)","Drewniana Ramka Rampy","Fa rámpa keret","Telaio Rampa di Legno","Marco de rampa de madera","Cadre de rampe en bois","木質坡道框架","木製スロープの枠組み","Armação da Rampa de Madeira","木坡道框架",
"STR_EXPANSION_BB_WOOD_ROOF_FINISHED","Wood Roof","Wood Roof","Dřevěná střecha","Holzdach","Деревянная крыша","Wood Roof","Wood Roof","Tetto in Legno","Techo de madera","Toit en bois","木質屋頂","Wood Roof","Wood Roof","木屋顶",
"STR_EXPANSION_BB_WOOD_STAIR_BASE","Wood Stair Base","Wood Stair Base","Základy pro dřevěné schody","Holztreppen-Basis","Основание деревянной лестницы","Drewniana Podstawa Schodów","Fa lépcső alap","Base Scala di Legno","Base de las escaleras de madera","Base d'escalier en bois","木質樓梯基座","Wood Stair Base","Escada de Madeira Base","木楼梯底座",
"STR_EXPANSION_BB_WOOD_STAIR_FINISHED","Wood Stair","Wood Stair","Dřevěné schody","Holztreppe","Деревянная лестница","Drewniane Schody","Fa lépcső","Scala di Legno","Escaleras de madera","Escalier en bois","木質樓梯","木製の階段","Escada de Madeira","木楼梯",
"STR_EXPANSION_BB_WOOD_STAIR_FRAME","Wood Stairs Frame","Wood Stairs Frame","Rám pro dřevěné schody","Holztreppenrahmen","Деревянная лестница (рама)","Drewniana Ramka Schodów","Fa lépcső keret","Telaio Scala di Legno","Marco de la escalera de madera","Cadre d'escalier en bois","木質樓梯框架","木製の階段の枠組み","Armação Escada de Madeira","木楼梯框架",
"STR_EXPANSION_BB_WOOD_STAIR_HANDRAIL","Wood Stair Handrail","Wood Stair Handrail","Zábradlí pro dřevěné schody","Holz-Treppengeländer","Перила деревянной лестницы","Drewniane Barierki Schodów","Fa lépcső korlát","Corrimano Scala di Legno","Barandilla de las escaleras de madera","Main courante d'escalier en bois","木質樓梯扶手","Wood Stair Handrail","Corrimão de Madeira","木楼梯扶手",
"STR_EXPANSION_BB_WOOD_STAIR_SUPPORT","Wood Stair Support","Wood Stair Support","Podpora dřevěných schodů","Holztreppenstütze","Деревянная опора для лестницы","Drewniane Wsporniki Schodów","Fa lépcső tartóelem","Supporto Scala di Legno","Soporte de las escaleras de madera","Support d'escalier en bois","木質樓梯支撐","Wood Stair Support","Suporte de Madeira Escada","木楼梯支撑",
"STR_EXPANSION_BB_WOOD_STAIR_TREAD","Wood Stair Tread","Wood Stair Tread","Dřevěné schody","Holz-Treppenstufe","Ступени деревянной лестницы","Drewniane Stopnie Schodów","Fa lépcsőfok","Copriscalini Scala di Legno","Escalon de las escaleras de madera","Marches d'escalier en bois","木質樓梯踏板","Wood Stair Tread","Degrau de Madeira Escada","木楼梯踏板",
"STR_EXPANSION_BB_WOOD_WALL_BASE","Wood Wall Base (3 m)","Wood Wall Base (3 m)","Základy pro dřevěnou stěnu (3m)","Holzwand-Basis (3 m)","Основание деревянной стены (3м)","Drewniana Podstawa Ściany (3m)","Fa fal alap (3m)","Base Muro di Legno (3m)","base de madera de la pared (3m)","Base de mur en bois (3m)","木質牆壁基座（3米）","Wood Wall Base (3m)","Parede de Madeira Base (3m)","木墙底座 (3m)",
"STR_EXPANSION_BB_WOOD_WALL_BASE_HALF","Wood Wall Base (1.5 m)","Wood Wall Base (1.5 m)","Základy pro dřevěnou stěnu (1.5m)","Holzwand-Basis (1,5 m)","Основание деревянной стены (1.5м)","Drewniana Podstawa Ściany (1.5m)","Fa fal alap (1.5m)","Base Muro di Legno (1.5m)","base de madera de la pared (1.5m)","Base de mur en bois (1.5m)","木質牆壁基座（1.5米）","Wood Wall Base (1.5m)","Parede de Madeira Base (1.5m)","木墙底座 (1.5m)",
"STR_EXPANSION_BB_WOOD_WALL_BASE_THIRD","Wood Wall Base (1 m)","Wood Wall Base (1 m)","Základy pro dřevěnou stěnu (1m)","Holzwand-Basis (1 m)","Основание деревянной стены (1м)","Drewniana Podstawa Ściany (1m)","Fa fal alap (1m)","Base Muro di Legno (1m)","base de madera de la pared (1m)","Base de mur en bois (1m)","木質牆壁基座（1米）","Wood Wall Base (1m)","Parede de Madeira Base (1m)","木墙底座 (1m)",
"STR_EXPANSION_BB_WOOD_WALL_FINISHED","Wood Wall","Wood Wall","Dřevěná stěna","Holzwand","Деревянная стена","Drewniana Ściana","Fa fal","Muro di Legno","Pared de madera","Mur en bois","木質牆壁","木製の壁","Parede de Madeira","木墙",
"STR_EXPANSION_BB_WOOD_WALL_FRAME","Wood Wall Frame","Wood Wall Frame","Rám pro dřevěnou stěnu","Holzwandrahmen","Деревянная стена (рама)","Drewniana Ramka Ściany","Fa fal keret","Telaio Muro di Legno","Marco de pared de madera","Cadre de mur en bois","木質牆壁框架","木製の壁の枠組み","Armação Parede de Madeira","木墙架",
"STR_EXPANSION_BB_WOOD_WINDOW_FINISHED","Wood Window","Wood Window","Dřevěné okno","Holzfenster","Деревянное окно","Drewniane Okno","Fa ablak","Finestra di legno","Ventana de madera","Fenêtre en bois","木質窗戶","木製の窓","Janela de Madeira","木窗",
"STR_EXPANSION_BB_WOOD_WINDOW_FRAME","Wood Window Frame","Wood Window Frame","Rám pro dřevěné okno","Holzfensterrahmen","Деревянное окно (рама)","Drewniana Ramka Okna","Fa ablak keret","Telaio Finestra di Legno","Marco de ventana de madera","Cadre de fenêtre en bois","木質窗戶框架","木製の窓の枠組み","Armação Janela de Madeira","木窗框",
"STR_EXPANSION_BUILD_ZONE_ITEM_DISALLOWED","This item cannot be placed in this build zone.","This item cannot be placed in this build zone.","Tento předmět nelze umístit do této zóny výstavby.","Dieser Gegenstand kann nicht in dieser Bauzone platziert werden.","Этот предмет не может быть устнановлен в этой зоне строительства.","This item cannot be placed in this build zone.","This item cannot be placed in this build zone.","Questo oggetto non puo' essere posizionato qui","Este objeto no se puede colocar en esta zona de construcción","Cet objet ne peut pas être placé dans cette zone de construction.","此物品無法放置在此建造區域。","This item cannot be placed in this build zone.","This item cannot be placed in this build zone.","此项目不能放置在此构建区域中。",
"STR_EXPANSION_BUILD_ZONE_REQUIRED","You can only place this item in a build zone.","You can only place this item in a build zone.","Tento předmět můžete umístit pouze do zóny výstavby.","Du kannst diesen Gegenstand nur in einer Bauzone platzieren.","Вы можете установить этот предмет только в зоне строительства.","You can only place this item in a build zone.","You can only place this item in a build zone.","Puoi piazzare questo oggetto solo in una zona di costruzione","Solo puedes colocar este objeto en una zona de construcción","Vous ne pouvez placer cet élément que dans une zone de construction.","您只能將此物品放置在建造區域內。","You can only place this item in a build zone.","You can only place this item in a build zone.","您只能将此项目放置在构建区域中。",
"STR_EXPANSION_BUILD_ZONE_REQUIRED_TITLE","Build Zone Required","Build Zone Required","Vyžadována zóna výstavby","Bauzone benötigt","Требуется зона застройки","Build Zone Required","Build Zone Required","Zona di costruzione richiesta","Se necesita zona de construcción","Zone de construction requise","需要建造區域","Build Zone Required","Build Zone Required","需要构建区域",
"STR_EXPANSION_BUILD_ZONE_TITLE","Build Zone %1","Build Zone %1","Zóna výstavby %1","Bauzone %1","Зона строительства %1","Build Zone %1","Build Zone %1","Zona di costruzione %1","Zona de construcción %1","Zone de construction %1","建造區域 %1","Build Zone %1","Build Zone %1","构建区域 %1",
"STR_EXPANSION_CEMENTMIXER","Cement Mixer","Cement Mixer","Betonová míchačka","Cement Mixer","Бетономешалка","Cement Mixer","Cement Mixer","Cement Mixer","Cement Mixer","Bétonnière","水泥攪拌機","Cement Mixer","Cement Mixer","水泥搅拌车",
"STR_EXPANSION_CEMENTMIXER_DESC","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","未就緒 - 請勿翻譯","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","未准备好 - 不要翻译",
"STR_EXPANSION_CEMENTMIXER_MOTOR","Cement Mixer Motor","Cement Mixer Motor","Motor betonové míchačky","Cement Mixer Motor","Двигатель бетономешалки","Cement Mixer Motor","Cement Mixer Motor","Cement Mixer Motor","Cement Mixer Motor","Moteur de Bétonnière","水泥攪拌機馬達","Cement Mixer Motor","Cement Mixer Motor","水泥搅拌机电机",
"STR_EXPANSION_CEMENTMIXER_MOTOR_DESC","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","未就緒 - 請勿翻譯","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","未准备好 - 不要翻译",
"STR_EXPANSION_CEMENTMIXER_TANK","Cement Mixer Tank","Cement Mixer Tank","Nádrž betonové míchačky","Cement Mixer Tank","Бак бетономешалки","Cement Mixer Tank","Cement Mixer Tank","Cement Mixer Tank","Cement Mixer Tank","Réservoir de Bétonnière","水泥攪拌機罐","Cement Mixer Tank","Cement Mixer Tank","水泥搅拌罐",
"STR_EXPANSION_CEMENTMIXER_TANK_DESC","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","未就緒 - 請勿翻譯","NOT READY - DO NOT TRANSLATE","NOT READY - DO NOT TRANSLATE","未准备好 - 不要翻译",
"STR_EXPANSION_CHICKEN_COOP","Chicken Coop","Chicken Coop","Kurník","Hühnerstall.","Курятник (набор)","Kurnik","Chicken Coop","Pollaio","Gallinero","Poulailler","雞舍","鳥小屋","Galinheiro","鸡舍",
"STR_EXPANSION_CHICKEN_COOP_DESC","Want some egg?","Want some egg?","Chceš vejce?","Willst ein paar Eier?","Хотите яичко?","Chcesz może jajko?","Want some egg?","Vuoi qualche uovo?","¿Querés un huevo?","Tu veux des œufs ?","想要一些蛋嗎？","卵はいかがですかぁ？","Quer um ovo?","要鸡蛋吗？",
"STR_EXPANSION_CHICKEN_COOP_KIT","Chicken Breeder-Kit","Chicken Breeder-Kit","Kit pro kurník","Hühnerstall-Set","Курятник (набор)","Zestaw Do Hodowli Kurczaków","Chicken Breeder-Kit","Kit da Allevatore di Galline","Kit Criador de gallinas","Kit d'élevage de Poule","雞飼養者套件","鳥小屋・キット","Conjunto Criadouro de Galinha","养鸡工具包",
"STR_EXPANSION_CHICKEN_COOP_KIT_DESC","Used to place and create a chicken coop.","Used to place and create a chicken coop.","Pro tvorbu kurníku","Wird genutzt, um einen Hühnerstall aufzustellen.","Используется для создания курятника.","Używany do umieszczenia i tworzenia kurnika.","Used to place and create a chicken coop.","Utilizzato per piazzare e creare un pollaio.","Se usa para crear un gallinero.","Utilisé pour placer et créer un poulailler.","用於放置和建造雞舍。","鳥小屋を作って設置するアイテムです","Usado para colocar e criar um galinheiro","用来放置和创建鸡舍",
"STR_EXPANSION_COT_TERRITORY_CANCEL_EDIT","Cancel Edit","Cancel Edit","Zrušit úpravu","Abbrechen","Закрыть редактирование","Cancel Edit","Cancel Edit","Annulla Modifiche","Cancelar edición","Annuler la modification","取消編輯","Cancel Edit","Cancel Edit","取消编辑",
"STR_EXPANSION_COT_TERRITORY_DELETE","Delete Territory","Delete Territory","Smazat území","Territorium auflösen","Удалить территорию","Delete Territory","Delete Territory","Elimina Territorio","Borrar territorio","Supprimer le territoire","刪除領土","Delete Territory","Delete Territory","删除领地",
"STR_EXPANSION_COT_TERRITORY_ID","Territory ID:","Territory ID:","ID území:","Territorium-ID:","ID территории:","Territory ID:","Territory ID:","ID Territorio:","ID del territorio","ID du territoire:","領土 ID：","Territory ID:","Territory ID:","区域编号:",
"STR_EXPANSION_COT_TERRITORY_INFORMATION","TERRITORY INFORMATION","TERRITORY INFORMATION","INFORMACE O ÚZEMÍ","Territorium-Information","ИНФОРМАЦИЯ ОБ ТЕРРИТОРИИ","TERRITORY INFORMATION","TERRITORY INFORMATION","INFORMAZIONI TERRITORIO","Información del servidor","INFORMATIONS TERRITOIRES","領土資訊","TERRITORY INFORMATION","TERRITORY INFORMATION","领土信息",
"STR_EXPANSION_COT_TERRITORY_LEVEL","Territory Level:","Territory Level:","Level území:","Territorium-Level:","Уровень территории:","Territory Level:","Territory Level:","Livello Territorio:","Nivel del Territorio","Niveau du territoire:","領土等級：","Territory Level:","Territory Level:","地域级别:",
"STR_EXPANSION_COT_TERRITORY_MEMBERS","TERRITORY MEMBERS","TERRITORY MEMBERS","ČLENOVÉ ÚZEMÍ","TERRITORIUM-MITGLIEDER","УЧАСТНИКИ ТЕРРИТОРИИ","TERRITORY MEMBERS","TERRITORY MEMBERS","MEMBRI TERRITORIO","Miembros del territorio","MEMBRES DU TERRITOIRE","領土成員","TERRITORY MEMBERS","TERRITORY MEMBERS","区域成员",
"STR_EXPANSION_COT_TERRITORY_MEMBERS_OPTIONS","MEMBER OPTIONS","MEMBER OPTIONS","VOLBY ČLENA","MITGLIEDER-OPTIONEN","НАСТРОЙКИ УЧАСТНИКА","MEMBER OPTIONS","MEMBER OPTIONS","OPZIONI MEMBRO","Opciones de miembro","OPTIONS DU MEMBRE","成員選項","MEMBER OPTIONS","MEMBER OPTIONS","会员选项",
"STR_EXPANSION_COT_TERRITORY_MEMBER_INFORMATION","MEMBER INFORMATION","MEMBER INFORMATION","INFORMACE O ČLENOVI","MITGLIEDER-INFORMATIONEN","ИНФОРМАЦИЯ ОБ УЧАСТНИКАХ","MEMBER INFORMATION","MEMBER INFORMATION","INFORMAZIONI MEMBRO","Información del miembro","INFORMATION DES MEMBRES","成員資訊","MEMBER INFORMATION","MEMBER INFORMATION","会员信息",
"STR_EXPANSION_COT_TERRITORY_MEMBER_NAME","Member Name:","Member Name:","Jméno člena:","Mitgliedsname:","Ник участника:","Member Name:","Member Name:","Nome Membro:","Nombre del miembro","Nom de membre:","成員名稱：","Member Name:","Member Name:","成员名字:",
"STR_EXPANSION_COT_TERRITORY_MEMBER_STEAMID","Steam ID:","Steam ID:","Steam ID:","Steam-ID:","Steam ID:","Steam ID:","Steam ID:","Steam ID:","ID de Steam","ID Steam:","Steam ID：","Steam ID:","Steam ID:","Steam ID:",
"STR_EXPANSION_COT_TERRITORY_NAME","Territory Name:","Territory Name:","Název území:","Territoriumsname:","Название территории:","Territory Name:","Territory Name:","Nome Territorio:","Nombre del servidor","Nom du territoire:","領土名稱：","Territory Name:","Territory Name:","地区名称:",
"STR_EXPANSION_COT_TERRITORY_OBJECTS","TERRITORY OBJECTS","TERRITORY OBJECTS","OBJEKTY ÚZEMÍ","TERRITORIUM-OBJEKTE","ОБЪЕКТЫ ТЕРРИТОРИИ","TERRITORY OBJECTS","TERRITORY OBJECTS","OGGETTI TERRITORIO","OBJETOS DEL TERRITORIO","OBJETS DU TERRITOIRE","領土物件","TERRITORY OBJECTS","TERRITORY OBJECTS","领地对象",
"STR_EXPANSION_COT_TERRITORY_OBJECT_CONTAINER_CONTENT","OBJECTS CONTAINER CONTENT","OBJECTS CONTAINER CONTENT","Obsah kontejneru objektu","OBJEKT-BEHÄLTER-INHALT","ОБЪЕКТЫ С СОДЕРЖИМЫМ","OBJECTS CONTAINER CONTENT","OBJECTS CONTAINER CONTENT","CONTENUTO OGGETTI CONTENITORE","OBJETOS DENTRO DEL CONTENEDOR","CONTENU DES OBJETS","物件容器內容","OBJECTS CONTAINER CONTENT","OBJECTS CONTAINER CONTENT","对象容器内容",
"STR_EXPANSION_COT_TERRITORY_OBJECT_DELETE","Delete Object","Delete Object","Smazat objekt","Objekt löschen","Удалить объект","Delete Object","Delete Object","Cancella Oggetto","Borrar objeto","Supprimer un objet","刪除物件","Delete Object","Delete Object","删除物件",
"STR_EXPANSION_COT_TERRITORY_OBJECT_ID","Object ID:","Object ID:","ID objektu:","Objekt-ID:","ID Объекта:","Object ID:","Object ID:","ID Oggetto:","ID del objeto","ID de l'Object:","物件 ID：","Object ID:","Object ID:","对象 ID:",
"STR_EXPANSION_COT_TERRITORY_OBJECT_INFORMATION","OBJECT INFORMATION","OBJECT INFORMATION","INFORMACE O OBJEKTU","OBJEKT-INFORMATION","ИНФОРМАЦИЯ ОБ ОБЪЕКТАХ","OBJECT INFORMATION","OBJECT INFORMATION","INFORMAZIONI OGGETTO","INFORMACIÓN DE LOS OBJETOS","INFORMATIONS SUR L'OBJET","物件資訊","OBJECT INFORMATION","OBJECT INFORMATION","对象信息",
"STR_EXPANSION_COT_TERRITORY_OBJECT_OPTIONS","OBJECT OPTIONS","OBJECT OPTIONS","VOLBY OBJEKTU","OBJEKT_OPTIONEN","ОПЦИИ ОБЪЕКТОВ","OBJECT OPTIONS","OBJECT OPTIONS","OPZIONI OGGETTO","OPCIONES OBJETO","OPTIONS DE L'OBJET","物件選項","OBJECT OPTIONS","OBJECT OPTIONS","对象选项",
"STR_EXPANSION_COT_TERRITORY_OBJECT_PREVIEW","OBJECT PREVIEW","OBJECT PREVIEW","NÁHLED OBJEKTU","OBJEKTVORSCHAU","ПРЕДПОКАЗ ОБЪЕКТОВ","OBJECT PREVIEW","OBJECT PREVIEW","ANTEPRIMA OGGETTO","VISTA PREVIA DEL OBJETO","APERÇU DE L'OBJET","物件預覽","OBJECT PREVIEW","OBJECT PREVIEW","对象预览",
"STR_EXPANSION_COT_TERRITORY_OPTIONS","TERRITORY OPTIONS","TERRITORY OPTIONS","MOŽNOSTI ÚZEMÍ","TERRITORIUM-OPTIONEN","ОПЦИИ ТЕРРИТОРИИ","TERRITORY OPTIONS","TERRITORY OPTIONS","OPZIONI TERRITORIO","Opciones del territorio","OPTIONS DU TERRITOIRES","領土選項","TERRITORY OPTIONS","TERRITORY OPTIONS","领地选项",
"STR_EXPANSION_COT_TERRITORY_OWNER_ID","Territory Owner ID:","Territory Owner ID:","ID vlastníka území:","Territoriumseigentümer-ID:","ID владельца территории:","Territory Owner ID:","Territory Owner ID:","ID Proprietario Territorio:","ID del dueño del territorio","ID du propriétaire du territoire:","領土擁有者 ID：","Territory Owner ID:","Territory Owner ID:","区域所有者ID:",
"STR_EXPANSION_COT_TERRITORY_POSITION","Territory Position:","Territory Position:","Pozice území:","Territorium-Position:","Территория Позиция:","Territory Position:","Territory Position:","Posizione Territorio:","Territory Position:","Position du territoire:","領土位置：","Territory Position:","Territory Position:","地区位置:",
"STR_EXPANSION_COT_TERRITORY_RANK","Territory Rank:","Territory Rank:","Pořadí území:","Territoriums-Rang:","Ранг территории:","Territory Rank:","Territory Rank:","Rango Territorio:","Rango del territorio:","Rang du territoire:","領土等級：","Territory Rank:","Territory Rank:","领地等级:",
"STR_EXPANSION_COT_TERRITORY_REFRESH","REFRESH LIST","REFRESH LIST","OBNOVIT SEZNAM","AKTUALISIEREN","ОБНОВИТЬ СПИСОК","REFRESH LIST","REFRESH LIST","AGGIORNA LISTA","Actualizar lista","RAFRAÎCHIR LA LISTE","刷新列表","REFRESH LIST","REFRESH LIST","刷新列表",
"STR_EXPANSION_COT_TERRITORY_TELEPORTTO","Teleport to Territory","Teleport to Territory","Teleportovat do území","Teleportiere zu Territorium","Телепортироваться на территорию","Teleport to Territory","Teleport to Territory","Teletrasporta a Territorio","Teletransportar al territorio","Téléporter vers le territoire","傳送到領土","Teleport to Territory","Teleport to Territory","传送到领地",
"STR_EXPANSION_COT_TERRITORY_TERRITORIES","SERVER TERRITORIES","SERVER TERRITORIES","ÚZEMÍ NA SERVERU","SERVER-TERRITORIEN","СЕРВЕРНЫЕ ТЕРРИТОРИИ","SERVER TERRITORIES","SERVER TERRITORIES","TERRITORI DEL SERVER","Territorios del servidor","TERRITOIRES DU SERVEURS","伺服器領土","SERVER TERRITORIES","SERVER TERRITORIES","服务器区域",
"STR_EXPANSION_ERROR_DESC_CODE_BADREAD","Unable to %1 - Can't read code","Unable to %1 - Can't read code","Unable to %1 - Can't read code","Kann nicht %1 - Code konnte nicht gelesen werden","Не удается %1 - Не удается считать код","Unable to %1 - Can't read code","Unable to %1 - Can't read code","Impossibile %1 - Impossibile leggere il codice","Impossible %1 - No se puede leer el código","Impossible de %1 - Impossible de lire le code","無法 %1 - 無法讀取代碼","Unable to %1 - Can't read code","Unable to %1 - Can't read code","无法解锁-无法读取代码",
"STR_EXPANSION_ERROR_DESC_CODE_SELECTION","Unable to %1 - Can't read selection","Unable to %1 - Can't read selection","Unable to %1 - Can't read selection","%1 nicht möglich - Auswahl konnte nicht gelesen werden","Невозможно %1 - Не удается считать выбранное","Unable to %1 - Can't read selection","Unable to %1 - Can't read selection","Impossibile %1 - Impossibile leggere la selezione","Impossible %1 - No se puede leer la selección","Impossible de %1 - Impossible de lire la sélection","無法 %1 - 無法讀取選擇","Unable to %1 - Can't read selection","Unable to %1 - Can't read selection","无法 %1 - 无法读取选择",
"STR_EXPANSION_FLAG_CHANGE","CHANGE FLAG","CHANGE FLAG","ZMĚNIT VLAJKU","ÄNDERE FLAGGE","СМЕНИТЬ ФЛАГ","CHANGE FLAG","CHANGE FLAG","CAMBIA BANDIERA","CAMBIAR BANDERA","CHANGER LE DRAPEAU","更改旗幟","CHANGE FLAG","CHANGE FLAG","更改旗帜",
"STR_EXPANSION_FLAG_CREATE_TERRITORY","CREATE TERRITORY","CREATE TERRITORY","VYTVOŘIT ÚZEMÍ","ERSTELLE EIN TERRITORIUM","СОЗДАТЬ ТЕРРИТОРИЮ","CREATE TERRITORY","CREATE TERRITORY","CREA TERRITORIO","CREAR TERRITORIO","CRÉER UN TERRITOIRE","建立領地","CREATE TERRITORY","CREATE TERRITORY","创建领地",
"STR_EXPANSION_FLAG_KIT","Flag Kit","Flag Kit","Kit pro vlajku","Flaggenset","Флаг (набор)","Zestaw Flagi","Zászló kit","Kit bandiera","Kit de banderas","Kit de drapeau","旗幟套件","旗キット","Conjunto Bandeira","旗帜包",
"STR_EXPANSION_FLAG_KIT_AUS","Flag Kit - Australia","Flag Kit - Australia","Kit pro vlajku - Austrálie","Flaggenset - Australien","Флаг (набор) - Австралия","Zestaw Flagi - Australia","Ausztrál zászló","Kit Bandiera - Australia","Kit de banderas - Austrália","Kit de mât - Australie","旗幟套件 - 澳大利亞","旗キット - オーストラリア","Bandeira - Austrália","澳大利亚旗帜包",
"STR_EXPANSION_FLAG_KIT_CANADA","Flag Kit - Canada","Flag Kit - Canada","Kit pro vlajku - Kanada","Flaggenset - Kanada","Флаг (набор) - Канада","Zestaw Flagi - Kanada","Kanadai zászló","Kit Bandiera - Canada","Kit de banderas - Canadá","Kit de mât - Canada","旗幟套件 - 加拿大","旗キット - カナダ","Bandeira - Canadá","加拿大旗帜包",
"STR_EXPANSION_FLAG_KIT_CHERNARUS","Flag Kit - Chernarus","Flag Kit - Chernarus","Kit pro vlajku - Černarus","Flaggenset - Chernarus","Флаг (набор) - Чернорусь","Zestaw Flagi - Czarnoruś","Csernarusszia zászló","Kit Bandiera - Chernarus","Kit de banderas - Chernarus","Kit de mât - Chernarus","旗幟套件 - 切爾諾貝利","旗キット - チェルナルス","Bandeira - Chernarus","车臣尼亚旗帜包",
